date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:00	299/299	---M--	200	added ('OK')	text/plain	etag:W/%2212b-1811e611712%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/robots.txt		(from )
12:54:01	149613/149613	---MCZ	200	added ('OK')	text/html	etag:%222486d-liBn5Ait0k+azWxWoLVipqHPKNo%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/index.html	(from )
12:54:02	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	/home/abhyuday/websites/Mavlens-Final/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:04	30781/30781	---MCZ	200	added ('OK')	text/css	etag:W/%22783d-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/css/346b9fe967711a57.css	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/css/346b9fe967711a57.css	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:04	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:06	3803/3803	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edb-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:07	130311/130311	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fd07-189df18e1ac%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:08	61886/61886	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1be-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:15	991027/991027	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1f33-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/pages/_app-c637193fff8ef982.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/pages/_app-c637193fff8ef982.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
12:54:15	6373/6373	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218e5-189df18e1a8%22	https://uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-5fb8df814d4d84e1.js	/home/abhyuday/websites/Mavlens-Final/uavlens-company-website0ju8vnhpxo.codedesign.app/_next/static/chunks/pages/[[...slug]]-5fb8df814d4d84e1.js	(from https://uavlens-company-website0ju8vnhpxo.codedesign.app/)
